"filename", "language", "C", "Makefile", "CMake", "C++", "GLSL", "Shell Script", "Markdown", "Batch", "Ruby", "XML", "YAML", "Swift", "reStructuredText", "Python", "comment", "blank", "total"
"/home/blackflage10/Desktop/c/minecraft/CMakeLists.txt", "CMake", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/blackflage10/Desktop/c/minecraft/Makefile", "Makefile", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/home/blackflage10/Desktop/c/minecraft/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/blackflage10/Desktop/c/minecraft/main.c", "C", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 72
"/home/blackflage10/Desktop/c/minecraft/res/shaders/fragment.frag", "GLSL", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/blackflage10/Desktop/c/minecraft/res/shaders/vertex.vert", "GLSL", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/blackflage10/Desktop/c/minecraft/src/CMakeLists.txt", "CMake", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"/home/blackflage10/Desktop/c/minecraft/src/core/allocators/pool_allocator.c", "C", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 60
"/home/blackflage10/Desktop/c/minecraft/src/core/allocators/pool_allocator.h", "C", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/home/blackflage10/Desktop/c/minecraft/src/core/ecs/component.c", "C", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 85
"/home/blackflage10/Desktop/c/minecraft/src/core/ecs/component.h", "C++", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/home/blackflage10/Desktop/c/minecraft/src/core/ecs/entity.c", "C", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 72
"/home/blackflage10/Desktop/c/minecraft/src/core/ecs/entity.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/home/blackflage10/Desktop/c/minecraft/src/core/error.c", "C", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/blackflage10/Desktop/c/minecraft/src/core/error.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/blackflage10/Desktop/c/minecraft/src/core/event.h", "C++", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/blackflage10/Desktop/c/minecraft/src/core/input.c", "C", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/blackflage10/Desktop/c/minecraft/src/core/input.h", "C", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 99
"/home/blackflage10/Desktop/c/minecraft/src/core/timer.c", "C", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/home/blackflage10/Desktop/c/minecraft/src/core/timer.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/blackflage10/Desktop/c/minecraft/src/graphics/renderer.c", "C", 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 263
"/home/blackflage10/Desktop/c/minecraft/src/graphics/renderer.h", "C++", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 49
"/home/blackflage10/Desktop/c/minecraft/src/graphics/texture.c", "C", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42
"/home/blackflage10/Desktop/c/minecraft/src/graphics/texture.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/blackflage10/Desktop/c/minecraft/src/graphics/texture_atlas.c", "C", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 93
"/home/blackflage10/Desktop/c/minecraft/src/graphics/texture_atlas.h", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/home/blackflage10/Desktop/c/minecraft/src/graphics/window.c", "C", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 339
"/home/blackflage10/Desktop/c/minecraft/src/graphics/window.h", "C", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"/home/blackflage10/Desktop/c/minecraft/src/utils/bmp_loader.c", "C", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 99
"/home/blackflage10/Desktop/c/minecraft/src/utils/bmp_loader.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/blackflage10/Desktop/c/minecraft/src/utils/file_loader.c", "C", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/blackflage10/Desktop/c/minecraft/src/utils/file_loader.h", "C", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/blackflage10/Desktop/c/minecraft/src/world/world.h", "C++", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 172
"/home/blackflage10/Desktop/c/minecraft/vendor/CMakeLists.txt", "CMake", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/.github/FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/.github/workflows/cmake-wasm.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 9, 15, 98
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 4, 12, 69
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/CMakeLists.txt", "CMake", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26, 185
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 13, 54
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/Package.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 3, 45
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 0, 114, 508
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/_config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/appveyor.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/autogen.sh", "Shell Script", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 22
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/cglm.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 7, 38
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/make.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 9, 37
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine-common.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 12, 41, 130
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine-mat.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 8, 35, 100
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine-post.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 12, 41, 130
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine-pre.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 23, 74, 241
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 8, 60, 197
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/affine2d.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 13, 47, 140
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 8, 29
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api_call.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api_inline_array.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 1, 12, 71
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api_simd.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/api_struct.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 2, 31, 99
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/bezier.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 8, 33, 90
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/box.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 15, 61, 182
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/build.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 11, 54, 154
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/call.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 6, 20
"/home/blackflage10/Desktop/c/minecraft/vendor/cglm/docs/source/cam.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 25, 93, 314
